CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Total_Trans_Amt,Total_Trans_Ct
788701608,Existing Customer,42,F,4,Graduate,Single,Less than $40K,Blue,26,5,1260,32
778506633,Attrited Customer,43,F,4,College,Married,Less than $40K,Blue,23,6,965,27
719989008,Existing Customer,47,F,1,High School,Unknown,Unknown,Blue,36,5,1121,25
791839233,Existing Customer,42,F,4,Unknown,Divorced,Unknown,Blue,36,5,1411,28
716918508,Existing Customer,39,M,1,College,Single,$40K - $60K,Blue,24,4,1602,49
717321783,Existing Customer,50,M,1,Uneducated,Single,$60K - $80K,Blue,45,5,1617,47
799000008,Existing Customer,57,M,2,Post-Graduate,Divorced,$120K +,Blue,51,4,1244,36
721517208,Existing Customer,41,M,4,Unknown,Married,Less than $40K,Blue,30,4,1263,29
719068683,Existing Customer,52,F,1,High School,Married,$40K - $60K,Blue,36,5,1036,25
709120008,Existing Customer,43,M,2,High School,Single,$60K - $80K,Blue,36,4,1217,39
709117533,Existing Customer,42,M,3,High School,Single,$80K - $120K,Blue,36,4,1556,35
816594183,Existing Customer,58,F,2,Uneducated,Married,$40K - $60K,Blue,53,6,2005,62
789485433,Existing Customer,42,M,4,College,Married,$80K - $120K,Blue,34,3,1698,67
712881483,Existing Customer,55,M,1,Post-Graduate,Married,$80K - $120K,Blue,45,5,2041,45
712689333,Existing Customer,38,M,2,Unknown,Single,$80K - $120K,Blue,28,4,1102,31
771492408,Existing Customer,40,F,2,Graduate,Married,Less than $40K,Blue,28,3,1346,30
711668283,Existing Customer,48,M,4,Uneducated,Married,$80K - $120K,Blue,37,5,1511,35
772684833,Existing Customer,32,F,1,Unknown,Married,Less than $40K,Blue,22,3,1761,42
712960308,Existing Customer,33,F,2,High School,Single,Less than $40K,Blue,36,4,2117,61
713530833,Attrited Customer,58,M,2,Graduate,Married,$40K - $60K,Blue,48,2,596,15
756065433,Existing Customer,26,M,0,Unknown,Single,$40K - $60K,Blue,19,5,2560,46
710997183,Existing Customer,46,M,0,Unknown,Married,$60K - $80K,Gold,36,3,1409,39
711146358,Existing Customer,39,F,1,Graduate,Married,Unknown,Blue,29,4,1759,33
716144058,Existing Customer,36,F,1,College,Single,$40K - $60K,Blue,25,6,1886,66
778699908,Attrited Customer,43,M,2,Uneducated,Married,$60K - $80K,Blue,24,2,915,29
713571258,Existing Customer,45,M,2,Unknown,Single,$60K - $80K,Silver,26,6,1343,41
711676908,Existing Customer,51,F,3,College,Married,Unknown,Blue,36,3,1870,56
719315508,Existing Customer,62,F,0,Unknown,Married,$40K - $60K,Blue,36,4,1557,25
778623858,Existing Customer,58,M,0,Uneducated,Married,$80K - $120K,Blue,38,6,1824,49
714665733,Existing Customer,42,M,4,Graduate,Single,$60K - $80K,Blue,36,5,1294,26
816089433,Existing Customer,49,M,4,Doctorate,Married,$60K - $80K,Blue,44,3,1545,31
716991933,Attrited Customer,53,F,3,Uneducated,Single,Less than $40K,Blue,35,6,820,25
714534108,Existing Customer,45,F,2,High School,Married,$40K - $60K,Blue,36,4,1675,47
787456608,Existing Customer,29,M,2,High School,Married,$80K - $120K,Blue,15,6,1678,37
717090183,Existing Customer,60,M,1,Doctorate,Married,$120K +,Blue,50,6,2117,48
772782708,Existing Customer,50,M,3,Post-Graduate,Single,$80K - $120K,Blue,40,5,1721,56
710722908,Existing Customer,53,M,3,Doctorate,Single,$120K +,Blue,36,3,1267,23
795155433,Existing Customer,45,M,3,Unknown,Married,$80K - $120K,Blue,38,6,1562,33
715271733,Existing Customer,50,F,2,Uneducated,Single,Less than $40K,Blue,37,3,1193,35
771706308,Existing Customer,46,M,2,Doctorate,Single,$80K - $120K,Blue,34,4,1254,34
713989233,Existing Customer,61,M,0,Post-Graduate,Married,Unknown,Blue,53,6,1731,32
780198258,Existing Customer,46,M,4,College,Single,$120K +,Blue,36,5,1099,39
802002858,Attrited Customer,62,F,1,High School,Married,Unknown,Blue,56,2,747,19
716290233,Existing Customer,43,F,3,Graduate,Married,$40K - $60K,Blue,33,6,1352,35
828298908,Existing Customer,54,M,4,Graduate,Married,$120K +,Blue,50,4,1770,47
788946783,Existing Customer,50,M,2,Unknown,Single,$120K +,Blue,36,5,1812,50
720697908,Existing Customer,35,M,2,High School,Married,$40K - $60K,Blue,21,3,1673,58
780598383,Existing Customer,35,M,3,Doctorate,Single,$40K - $60K,Blue,23,4,2167,65
715345833,Existing Customer,36,F,1,High School,Single,Less than $40K,Blue,36,6,2369,56
710831133,Existing Customer,42,M,3,Unknown,Married,$80K - $120K,Blue,36,5,1582,47
766706358,Existing Customer,39,F,2,Unknown,Married,Less than $40K,Blue,32,6,1800,33
816533733,Existing Customer,50,M,1,Unknown,Married,$80K - $120K,Blue,45,5,1567,44
712373208,Attrited Customer,43,M,3,Doctorate,Single,$60K - $80K,Blue,35,3,647,19
721433283,Existing Customer,39,F,1,High School,Single,$40K - $60K,Blue,20,3,1447,39
720680058,Existing Customer,47,M,2,Post-Graduate,Married,Less than $40K,Blue,36,6,1145,37
716909283,Existing Customer,60,M,1,Post-Graduate,Single,$80K - $120K,Blue,48,3,3280,78
754654383,Existing Customer,30,M,2,High School,Married,Less than $40K,Blue,23,4,1577,35
719226333,Existing Customer,44,M,4,Unknown,Single,$60K - $80K,Blue,24,5,1140,25
779759058,Existing Customer,52,M,0,Graduate,Single,$120K +,Blue,41,6,1736,40
718206783,Existing Customer,45,F,4,Unknown,Single,Less than $40K,Gold,36,6,1436,36
715783758,Existing Customer,40,M,4,Graduate,Divorced,$120K +,Blue,30,5,1513,38
771190083,Existing Customer,36,F,3,Post-Graduate,Single,Less than $40K,Blue,23,6,2505,69
713135883,Existing Customer,65,F,0,High School,Married,Unknown,Blue,53,4,1723,51
778799583,Existing Customer,35,F,0,Unknown,Married,Less than $40K,Blue,24,6,1695,48
808796208,Existing Customer,54,F,2,Unknown,Divorced,$40K - $60K,Blue,49,5,1532,44
708313608,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,43,5,2110,43
779330208,Existing Customer,62,F,1,College,Married,Less than $40K,Blue,44,3,1807,45
794498733,Existing Customer,40,M,2,Unknown,Single,$120K +,Blue,21,6,1687,46
807964908,Existing Customer,41,M,4,High School,Married,$60K - $80K,Blue,36,4,1481,45
823845783,Existing Customer,53,M,2,Unknown,Married,$120K +,Blue,49,6,1318,37
711748983,Existing Customer,30,M,1,High School,Married,$60K - $80K,Blue,17,3,1946,45
718064283,Existing Customer,46,M,3,Uneducated,Divorced,$60K - $80K,Blue,34,4,1481,41
710492733,Existing Customer,29,M,0,Post-Graduate,Single,$40K - $60K,Blue,19,4,2168,42
779016408,Existing Customer,37,F,3,Uneducated,Married,Less than $40K,Blue,27,6,1583,32
717787533,Existing Customer,51,F,1,High School,Married,Less than $40K,Blue,40,4,1229,34
714851058,Existing Customer,31,M,0,Graduate,Married,$40K - $60K,Blue,21,3,1718,42
823535133,Existing Customer,45,M,2,Uneducated,Unknown,$80K - $120K,Blue,41,6,1402,34
708455883,Attrited Customer,57,M,1,Graduate,Single,$80K - $120K,Blue,36,2,1127,29
780095808,Existing Customer,43,M,3,Unknown,Divorced,$60K - $80K,Blue,30,3,1053,31
709207458,Existing Customer,44,M,3,Graduate,Married,$40K - $60K,Blue,27,4,1340,25
763895958,Attrited Customer,53,M,2,High School,Married,$120K +,Blue,46,4,732,21
715942683,Existing Customer,32,F,3,Graduate,Single,Less than $40K,Blue,36,3,2346,71
721301733,Existing Customer,53,M,1,Graduate,Married,$80K - $120K,Blue,38,6,1580,45
711927108,Attrited Customer,54,M,3,High School,Married,$80K - $120K,Blue,36,2,1196,28
718083483,Existing Customer,42,M,3,Uneducated,Unknown,Less than $40K,Blue,35,4,2086,50
717548358,Existing Customer,38,F,1,College,Married,Less than $40K,Blue,25,3,1665,57
816829608,Existing Customer,44,M,2,Unknown,Married,$80K - $120K,Blue,39,6,1495,39
713936583,Existing Customer,54,M,2,Graduate,Married,$60K - $80K,Blue,43,6,2187,58
709682658,Existing Customer,37,F,4,High School,Single,$40K - $60K,Blue,36,5,1371,23
793889508,Existing Customer,48,F,2,Graduate,Married,$40K - $60K,Blue,42,4,1235,37
714648933,Existing Customer,55,F,3,Graduate,Married,Unknown,Blue,36,3,1556,40
711556533,Existing Customer,43,F,1,Graduate,Unknown,Unknown,Blue,36,6,1212,24
717420333,Existing Customer,37,M,1,High School,Single,$60K - $80K,Blue,26,4,2701,60
768921933,Existing Customer,34,M,2,High School,Married,$60K - $80K,Blue,28,3,1750,47
714311583,Existing Customer,46,F,4,Graduate,Single,Unknown,Blue,36,4,1610,43
717707133,Existing Customer,32,M,1,Unknown,Single,$40K - $60K,Blue,24,6,2184,63
716043258,Existing Customer,53,M,3,Unknown,Married,$40K - $60K,Blue,41,6,1745,41
716343408,Existing Customer,46,M,3,Graduate,Divorced,$80K - $120K,Blue,38,3,1381,40
718909158,Existing Customer,38,M,1,College,Married,Less than $40K,Blue,25,6,1793,37
719471433,Existing Customer,31,F,0,Graduate,Married,Less than $40K,Blue,22,3,1831,36
712763808,Existing Customer,38,M,2,Unknown,Single,$60K - $80K,Blue,36,3,1468,36
711147483,Attrited Customer,46,F,3,Graduate,Single,Less than $40K,Blue,28,2,1097,32
719788833,Existing Customer,47,M,3,High School,Married,$60K - $80K,Blue,36,6,1682,44
715168983,Existing Customer,47,F,3,Graduate,Married,Less than $40K,Blue,36,5,1451,37
714306258,Existing Customer,56,M,1,College,Married,$60K - $80K,Blue,46,3,1509,44
713828208,Existing Customer,47,M,2,Uneducated,Unknown,$60K - $80K,Blue,36,6,1895,57
710574558,Existing Customer,47,M,4,Graduate,Single,$80K - $120K,Blue,41,5,1403,40
710947683,Existing Customer,64,F,0,Graduate,Married,Less than $40K,Blue,51,6,1420,31
711113958,Existing Customer,37,F,3,Unknown,Married,Less than $40K,Blue,25,6,1717,31
718923858,Existing Customer,42,M,1,College,Married,$60K - $80K,Silver,29,5,1131,29
752666508,Existing Customer,41,M,4,College,Married,$80K - $120K,Silver,34,4,1005,22
712672083,Existing Customer,65,F,0,High School,Married,Less than $40K,Blue,36,3,948,24
719863758,Existing Customer,49,F,3,Post-Graduate,Married,$40K - $60K,Blue,41,6,1549,34
720990183,Attrited Customer,54,M,5,High School,Married,$60K - $80K,Blue,36,5,965,26
720718908,Existing Customer,46,M,3,Uneducated,Single,$120K +,Blue,36,5,1958,41
721250358,Existing Customer,50,M,2,Unknown,Married,$40K - $60K,Blue,36,3,1266,22
779773533,Existing Customer,50,F,3,Unknown,Married,Less than $40K,Blue,34,6,1367,29
708249708,Existing Customer,48,F,1,Doctorate,Married,Less than $40K,Blue,39,3,1489,48
713967783,Existing Customer,62,F,0,Unknown,Married,Unknown,Blue,52,6,1582,33
779506158,Existing Customer,39,F,1,College,Married,Less than $40K,Blue,22,3,2516,42
759823158,Existing Customer,46,M,1,Unknown,Married,$60K - $80K,Blue,39,4,1557,49
716608608,Attrited Customer,41,M,2,Uneducated,Married,$80K - $120K,Blue,33,5,1084,32
789528183,Existing Customer,39,F,2,Graduate,Married,Unknown,Blue,31,4,2583,47
708895158,Existing Customer,46,M,2,Unknown,Married,$80K - $120K,Blue,34,3,1371,30
824805858,Existing Customer,39,F,2,Uneducated,Single,Less than $40K,Blue,35,5,1537,49
720840108,Existing Customer,44,M,0,Uneducated,Married,Less than $40K,Blue,24,5,3753,60
787595658,Existing Customer,57,F,3,Unknown,Single,Less than $40K,Blue,29,6,1104,31
720244983,Existing Customer,40,M,3,Unknown,Single,$40K - $60K,Blue,28,4,1482,42
713220258,Existing Customer,65,F,0,High School,Married,Unknown,Blue,36,4,1299,29
813469458,Existing Customer,26,F,1,Graduate,Single,$40K - $60K,Blue,20,6,2167,48
788939358,Existing Customer,47,M,2,High School,Unknown,$60K - $80K,Blue,33,4,1563,40
718870158,Existing Customer,47,M,4,High School,Married,$60K - $80K,Blue,34,5,1772,52
788673708,Attrited Customer,57,F,2,High School,Married,$40K - $60K,Blue,45,2,1254,35
711809283,Existing Customer,31,M,1,Unknown,Married,Less than $40K,Blue,36,3,2229,35
816513108,Existing Customer,54,M,4,Graduate,Married,$60K - $80K,Blue,49,3,2195,63
718594608,Existing Customer,43,F,2,Post-Graduate,Married,Unknown,Blue,36,3,1362,28
823606983,Existing Customer,39,M,2,College,Married,$60K - $80K,Blue,35,4,2398,37
717028158,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,44,3,2649,56
788485908,Existing Customer,44,M,3,Unknown,Married,$60K - $80K,Blue,37,3,1463,34
714472608,Existing Customer,59,M,0,College,Married,Less than $40K,Blue,49,3,1174,27
710793783,Existing Customer,53,F,3,Graduate,Married,Unknown,Blue,40,6,1836,36
794340033,Existing Customer,34,F,3,Uneducated,Married,$40K - $60K,Blue,28,5,1817,39
716462658,Existing Customer,47,M,4,Doctorate,Single,$80K - $120K,Blue,36,3,1387,36
718050033,Existing Customer,54,M,2,College,Married,$120K +,Blue,43,3,2028,55
714023808,Existing Customer,42,F,2,Graduate,Married,Unknown,Blue,33,6,1582,36
716341833,Existing Customer,53,F,3,College,Married,Less than $40K,Blue,44,6,1774,37
719648358,Existing Customer,50,M,2,Graduate,Single,$80K - $120K,Blue,35,3,1636,36
816600933,Attrited Customer,56,M,0,College,Married,$80K - $120K,Blue,51,3,1031,25
714208533,Attrited Customer,43,M,3,High School,Married,$60K - $80K,Blue,36,1,916,33
713095533,Existing Customer,44,F,4,High School,Divorced,Less than $40K,Blue,36,5,1198,31
809967783,Existing Customer,34,F,4,Graduate,Divorced,$40K - $60K,Blue,26,5,2189,54
715848408,Existing Customer,61,M,1,Graduate,Unknown,$80K - $120K,Blue,52,6,1257,36
714414483,Existing Customer,54,F,0,Unknown,Married,Less than $40K,Blue,44,6,1503,35
708655983,Existing Customer,49,F,3,High School,Divorced,Unknown,Blue,40,3,1353,24
720426708,Attrited Customer,56,M,3,High School,Single,$60K - $80K,Blue,45,2,811,27
713743158,Existing Customer,47,M,1,Graduate,Married,$60K - $80K,Blue,36,4,1270,21
721279083,Existing Customer,53,M,4,Graduate,Single,$80K - $120K,Blue,33,5,1840,53
779149683,Existing Customer,30,F,0,Graduate,Divorced,Unknown,Blue,13,5,2585,75
714970458,Existing Customer,39,F,2,High School,Married,$40K - $60K,Blue,29,6,1807,33
719070108,Existing Customer,44,M,2,Graduate,Married,$80K - $120K,Silver,35,4,1729,52
715490733,Existing Customer,54,F,3,Uneducated,Single,Unknown,Blue,36,5,1211,35
714989583,Existing Customer,46,M,2,Graduate,Married,$60K - $80K,Blue,36,3,1763,44
820355433,Existing Customer,43,M,3,Unknown,Single,$40K - $60K,Blue,38,6,1395,34
715901508,Existing Customer,35,M,1,High School,Married,$80K - $120K,Blue,25,6,1843,43
710370483,Existing Customer,39,F,4,College,Married,Less than $40K,Blue,31,4,1517,33
778573233,Existing Customer,61,F,1,Graduate,Married,Less than $40K,Blue,54,3,1977,50
708833133,Existing Customer,40,F,3,Graduate,Divorced,Less than $40K,Blue,29,5,2027,49
719885883,Existing Customer,53,M,3,College,Single,$120K +,Blue,36,6,1497,43
712523283,Existing Customer,55,M,2,Unknown,Married,$120K +,Blue,41,4,1134,31
711309033,Existing Customer,41,M,2,Unknown,Single,$60K - $80K,Blue,24,6,3663,65
708134283,Existing Customer,35,M,2,Uneducated,Married,Less than $40K,Blue,36,4,1483,31
720147633,Existing Customer,61,M,1,Unknown,Single,$40K - $60K,Blue,47,3,1956,63
708983658,Attrited Customer,51,M,2,Uneducated,Single,$120K +,Blue,39,3,940,25
766285608,Existing Customer,42,M,3,High School,Single,$40K - $60K,Blue,35,4,2183,56
779715108,Existing Customer,46,M,2,Unknown,Divorced,$80K - $120K,Blue,30,3,2920,74
798035358,Existing Customer,46,F,4,High School,Single,Less than $40K,Blue,40,3,1221,41
719391783,Existing Customer,46,M,4,Uneducated,Married,$40K - $60K,Blue,35,3,1790,60
809342208,Existing Customer,26,M,0,Graduate,Single,Unknown,Blue,19,4,2005,47
780713058,Existing Customer,46,M,3,High School,Married,$60K - $80K,Blue,35,4,3490,69
779338683,Existing Customer,62,M,1,Graduate,Married,$60K - $80K,Blue,44,5,1904,49
783387783,Existing Customer,55,M,2,Uneducated,Divorced,$60K - $80K,Blue,49,4,1647,53
787800108,Existing Customer,55,M,2,College,Married,$80K - $120K,Blue,45,5,1903,39
721397808,Existing Customer,32,M,0,High School,Married,$40K - $60K,Blue,24,5,1564,41
778698408,Existing Customer,37,F,4,Uneducated,Married,Less than $40K,Blue,18,5,1686,34
709545333,Existing Customer,33,F,4,High School,Single,Unknown,Blue,29,6,2412,64
716032233,Existing Customer,42,M,2,College,Married,$80K - $120K,Blue,32,5,3981,65
717835908,Existing Customer,33,M,2,Post-Graduate,Married,$80K - $120K,Blue,22,3,2730,48
719466558,Existing Customer,60,F,0,High School,Single,Unknown,Blue,36,3,1361,34
778663458,Attrited Customer,65,M,1,High School,Married,Less than $40K,Blue,47,3,821,18
716024808,Attrited Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,36,3,938,21
713008308,Existing Customer,59,F,0,Unknown,Married,Less than $40K,Blue,47,5,1861,42
794831733,Existing Customer,45,F,5,Graduate,Married,Less than $40K,Blue,39,4,1345,28
713854608,Existing Customer,62,M,1,Uneducated,Married,$60K - $80K,Blue,36,6,2444,63
715993608,Existing Customer,51,M,2,College,Single,$120K +,Blue,41,6,1686,50
789368658,Existing Customer,57,M,2,Graduate,Married,$80K - $120K,Blue,47,6,1468,30
802817358,Existing Customer,38,F,3,High School,Married,Unknown,Blue,32,4,2320,51
708098133,Existing Customer,32,F,0,Graduate,Married,Less than $40K,Blue,19,6,1598,39
801499908,Existing Customer,43,F,4,Graduate,Married,Less than $40K,Blue,37,4,1232,31
824770683,Existing Customer,51,F,0,Unknown,Divorced,Less than $40K,Blue,47,6,4027,76
718310733,Existing Customer,50,M,2,Unknown,Divorced,$80K - $120K,Blue,36,4,1922,48
708162558,Existing Customer,64,F,0,Uneducated,Married,Unknown,Blue,54,6,1355,36
721129383,Existing Customer,53,F,1,Doctorate,Married,Less than $40K,Blue,36,3,2361,42
721249158,Attrited Customer,42,M,2,Uneducated,Single,$60K - $80K,Blue,30,2,708,14
721049658,Existing Customer,53,M,3,Graduate,Single,$80K - $120K,Blue,34,6,1687,62
806392908,Existing Customer,52,F,4,High School,Single,Unknown,Blue,47,6,1212,33
714886533,Existing Customer,60,F,2,High School,Married,Less than $40K,Blue,36,4,1752,34
772375533,Existing Customer,30,M,1,Graduate,Married,$80K - $120K,Blue,19,5,1560,39
826775058,Existing Customer,43,F,3,Uneducated,Married,Less than $40K,Blue,39,4,1520,36
711878733,Existing Customer,60,M,1,Uneducated,Married,$60K - $80K,Blue,48,3,1685,45
714550383,Existing Customer,46,M,2,High School,Single,$40K - $60K,Blue,36,4,1678,40
712636308,Existing Customer,65,F,2,High School,Married,$40K - $60K,Blue,45,6,1627,26
772139433,Existing Customer,44,F,2,College,Single,$40K - $60K,Blue,33,4,1637,61
709058808,Existing Customer,56,F,2,College,Married,Less than $40K,Blue,36,6,1707,42
813240408,Existing Customer,45,F,4,High School,Married,Unknown,Blue,39,4,1208,25
767753958,Existing Customer,37,M,3,Graduate,Unknown,$40K - $60K,Blue,31,6,1881,51
710111733,Existing Customer,48,M,2,High School,Married,$80K - $120K,Blue,39,5,1360,28
761544333,Existing Customer,37,F,4,College,Married,$40K - $60K,Blue,30,4,1641,32
788814783,Existing Customer,39,M,1,Uneducated,Single,$60K - $80K,Blue,22,4,1820,58
715034358,Existing Customer,41,M,2,Graduate,Married,$120K +,Blue,32,5,1505,35
709624533,Existing Customer,55,F,2,High School,Married,Less than $40K,Blue,45,5,1627,38
709942383,Existing Customer,34,M,1,Graduate,Married,$80K - $120K,Blue,36,5,1703,34
803957508,Existing Customer,52,M,2,Unknown,Single,$80K - $120K,Blue,47,6,1433,33
713378133,Existing Customer,54,F,0,Post-Graduate,Single,Less than $40K,Silver,39,6,2445,60
709217358,Existing Customer,40,M,3,Post-Graduate,Married,$80K - $120K,Blue,36,5,1665,45
720998358,Existing Customer,52,M,0,High School,Married,$120K +,Silver,41,3,1489,38
721051908,Existing Customer,45,M,3,Graduate,Single,$60K - $80K,Blue,33,3,1393,32
715232058,Existing Customer,61,M,0,Post-Graduate,Married,$40K - $60K,Blue,53,5,1820,42
806250783,Existing Customer,57,F,2,High School,Married,Less than $40K,Blue,52,6,2742,58
817245183,Existing Customer,51,M,2,Unknown,Unknown,$120K +,Blue,33,6,1979,40
713670333,Existing Customer,60,M,1,Unknown,Single,Less than $40K,Blue,52,5,1378,27
826477083,Existing Customer,48,F,2,College,Married,Less than $40K,Blue,44,5,1520,34
788728608,Existing Customer,34,M,0,High School,Married,$40K - $60K,Blue,13,3,1588,36
717190533,Existing Customer,49,M,4,High School,Married,$60K - $80K,Blue,36,6,1282,32
716580033,Existing Customer,53,M,3,High School,Married,$120K +,Blue,36,3,1872,59
711644508,Existing Customer,34,M,2,Uneducated,Single,$80K - $120K,Blue,36,3,2295,63
714334383,Existing Customer,54,M,2,Graduate,Married,$60K - $80K,Blue,42,6,1065,28
720611058,Existing Customer,40,M,3,Graduate,Single,$120K +,Blue,27,4,1550,47
712420833,Existing Customer,49,F,5,College,Single,Unknown,Blue,41,6,1527,57
713845083,Attrited Customer,41,F,4,High School,Single,Less than $40K,Blue,36,6,1489,43
713756508,Existing Customer,46,M,3,Graduate,Divorced,Less than $40K,Blue,36,5,1264,30
735565158,Existing Customer,46,M,4,Graduate,Married,$60K - $80K,Blue,33,6,1582,38
714131058,Existing Customer,30,M,0,Graduate,Unknown,$60K - $80K,Blue,36,3,1567,33
717180633,Existing Customer,59,M,1,Post-Graduate,Married,$40K - $60K,Blue,36,4,1704,35
717295683,Existing Customer,50,M,0,Doctorate,Single,$80K - $120K,Blue,38,5,1546,35
713128833,Existing Customer,49,M,2,Unknown,Unknown,$60K - $80K,Blue,36,5,1478,38
813499458,Attrited Customer,45,M,5,High School,Unknown,$60K - $80K,Blue,40,3,2132,31
710070183,Existing Customer,53,F,1,High School,Single,Less than $40K,Blue,36,3,1419,38
789605658,Existing Customer,42,F,1,Doctorate,Married,$40K - $60K,Blue,35,4,1065,27
710045058,Existing Customer,46,M,5,High School,Married,$40K - $60K,Silver,28,5,1364,40
710164683,Existing Customer,33,M,1,Graduate,Married,$60K - $80K,Blue,22,3,2247,36
710802258,Existing Customer,46,F,2,Graduate,Married,Less than $40K,Blue,38,4,1111,26
721036233,Existing Customer,61,M,0,High School,Married,$60K - $80K,Blue,36,4,1836,42
710036508,Existing Customer,42,M,5,Uneducated,Married,$40K - $60K,Blue,34,5,1164,35
717776808,Existing Customer,47,F,4,Graduate,Single,Less than $40K,Blue,39,3,2005,54
714906033,Existing Customer,47,F,2,Graduate,Single,Less than $40K,Blue,36,6,1588,35
714273708,Existing Customer,53,F,4,Graduate,Married,$40K - $60K,Blue,36,3,2242,49
721117533,Existing Customer,46,F,3,Graduate,Single,Less than $40K,Blue,26,3,1415,45
715374558,Existing Customer,26,M,0,College,Divorced,Less than $40K,Blue,36,5,2483,74
824807658,Existing Customer,45,M,3,Graduate,Married,$60K - $80K,Blue,41,6,1239,33
714940608,Existing Customer,36,M,2,High School,Divorced,$40K - $60K,Blue,36,3,2057,53
824782008,Existing Customer,42,M,3,High School,Unknown,$60K - $80K,Blue,38,5,1228,26
717561108,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,36,4,1629,32
717127083,Existing Customer,37,M,3,Graduate,Married,$120K +,Blue,25,3,2076,58
772460508,Existing Customer,53,M,1,Uneducated,Married,$40K - $60K,Blue,43,3,1231,34
720484908,Existing Customer,65,F,1,Post-Graduate,Married,$40K - $60K,Blue,52,5,1655,27
771237933,Existing Customer,47,M,1,Uneducated,Unknown,$80K - $120K,Blue,34,4,1477,23
794664183,Existing Customer,38,M,0,Uneducated,Married,$60K - $80K,Blue,19,3,1501,45
797488158,Existing Customer,52,M,2,High School,Married,$60K - $80K,Blue,46,5,1313,36
708543258,Existing Customer,36,M,3,High School,Married,$80K - $120K,Blue,36,5,2045,39
778706508,Existing Customer,43,M,4,College,Married,$60K - $80K,Blue,24,3,1448,30
712240083,Attrited Customer,38,F,3,Unknown,Single,Less than $40K,Blue,30,6,858,22
713650683,Existing Customer,65,F,0,Graduate,Married,Less than $40K,Blue,56,4,1591,37
772532208,Attrited Customer,51,F,2,Doctorate,Married,Less than $40K,Blue,41,2,842,24
778929783,Attrited Customer,40,M,3,Graduate,Divorced,$80K - $120K,Blue,22,2,781,28
714244383,Existing Customer,39,M,3,College,Unknown,$80K - $120K,Blue,36,4,1529,30
718797558,Existing Customer,39,F,1,Graduate,Married,Unknown,Blue,30,3,2422,46
712821333,Existing Customer,60,M,0,Uneducated,Married,$60K - $80K,Blue,47,3,1825,50
721120008,Existing Customer,43,F,2,Uneducated,Single,$40K - $60K,Blue,29,6,1555,29
709633533,Existing Customer,31,M,2,Uneducated,Married,Less than $40K,Blue,18,3,2789,50
710789058,Existing Customer,55,M,1,Graduate,Single,$120K +,Blue,42,4,1308,41
716174433,Existing Customer,65,F,1,College,Married,Less than $40K,Blue,54,3,2489,54
789886533,Existing Customer,54,F,1,High School,Married,Less than $40K,Blue,44,3,1110,21
715210308,Existing Customer,40,F,1,High School,Married,Unknown,Blue,31,3,1260,32
721038408,Existing Customer,38,F,2,High School,Married,Less than $40K,Blue,27,4,1741,43
713325108,Existing Customer,36,M,2,Post-Graduate,Married,$60K - $80K,Blue,29,5,1845,40
720352533,Existing Customer,43,M,3,High School,Unknown,$60K - $80K,Blue,36,5,1483,38
708431433,Existing Customer,41,M,3,Graduate,Married,$120K +,Blue,31,3,1463,32
716996583,Existing Customer,50,M,3,High School,Divorced,$120K +,Blue,37,3,1734,35
718699683,Existing Customer,48,M,3,College,Married,$80K - $120K,Silver,36,6,1733,54
771359958,Existing Customer,39,M,4,Unknown,Single,$120K +,Silver,26,6,1689,42
716604633,Existing Customer,55,F,2,Post-Graduate,Married,$40K - $60K,Blue,46,6,1865,53
813952233,Existing Customer,44,M,3,Graduate,Unknown,Less than $40K,Blue,39,5,1413,46
713053383,Attrited Customer,42,M,3,Graduate,Married,$80K - $120K,Blue,36,1,853,12
709979583,Existing Customer,54,M,3,Graduate,Married,$120K +,Blue,46,3,1999,54
709380333,Existing Customer,57,M,1,Uneducated,Married,$120K +,Blue,36,6,1671,45
778574283,Existing Customer,53,F,1,Uneducated,Married,$40K - $60K,Blue,46,5,2118,64
789875883,Existing Customer,41,F,4,Uneducated,Single,Less than $40K,Blue,31,5,1391,45
714661233,Existing Customer,39,M,1,Graduate,Single,$120K +,Blue,24,6,1729,52
813915933,Existing Customer,45,M,2,Graduate,Divorced,$40K - $60K,Blue,40,3,1393,35
708358683,Existing Customer,46,M,2,Graduate,Married,$80K - $120K,Silver,35,6,1665,40
824761458,Existing Customer,54,M,2,High School,Married,$80K - $120K,Blue,50,4,2489,62
715362183,Existing Customer,40,F,4,Graduate,Married,Unknown,Blue,36,3,1688,38
721194858,Existing Customer,48,M,4,Graduate,Unknown,$80K - $120K,Blue,40,6,1725,60
803595858,Attrited Customer,56,F,3,High School,Married,$40K - $60K,Blue,51,5,594,14
716198358,Existing Customer,33,F,4,Post-Graduate,Married,$40K - $60K,Blue,36,4,1852,55
714173808,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,34,5,1389,34
709465758,Existing Customer,62,F,1,Post-Graduate,Married,Less than $40K,Blue,53,3,902,31
714081558,Existing Customer,33,F,0,Graduate,Married,Unknown,Blue,36,4,1387,31
